NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,INDEX,VARIABLE NAME,VALUE,LABEL,SOURCE,SHOWN/USE ON SITE,NOTES,,,
Level of institution,school,institutional_characteristics.level,integer,,ICLEVEL,1,4-year,IPEDS,,,,,
,school,,,,,2,2-year,,,,,,
,school,,,,,3,Less-than-2-year,,,,,,
Total share of enrollment of undergraduate degree-seeking students who are men,student,demographics.men,float,,UGDS_MEN,,,IPEDS,,,,,
Total share of enrollment of undergraduate degree-seeking students who are women,student,demographics.women,float,,UGDS_WOMEN,,,IPEDS,,,,,
Number of students in the cohort for the three-year cohort default rate,repayment,3_yr_default_rate_denom,integer,,CDR3_DENOM,,,FSA,,,,,
Open admissions policy indicator,school,open_admissions_policy,integer,,OPENADMP,1,Yes,IPEDS,,,,,
,,,,,,2,No,,,,,,
,,,,,,3,Does not enroll first-time students,,,,,,
Number of undergraduate students (denominator percent receiving a pell grant or federal student loan),student,undergrads_with_pell_grant_or_federal_student_loan,integer,,D_PCTPELL_PCTFLOAN,,,IPEDS,,,,,
Number of non-degree-seeking undergraduate students,student,undergrads_non_degree_seeking,integer,,UGNONDS,,,IPEDS,,,,,
Number of graduate students,student,grad_students,integer,,GRADS,,,IPEDS,,,,,
Adjusted cohort count for completion rate of White students at four-year institutions (denominator of 150% completion rate),completion,completion_cohort_4yr_150_white,integer,,D150_4_WHITE,,,IPEDS,,,,,
Adjusted cohort count for completion rate of Black/African American students at four-year institutions (denominator of 150% completion rate),completion,completion_cohort_4yr_150_black,integer,,D150_4_BLACK,,,IPEDS,,,,,
Adjusted cohort count for completion rate of Hispanic students at four-year institutions (denominator of 150% completion rate),completion,completion_cohort_4yr_150_hispanic,integer,,D150_4_HISP,,,IPEDS,,,,,
Adjusted cohort count for completion rate of Asian students at four-year institutions (denominator of 150% completion rate),completion,completion_cohort_4yr_150_asian,integer,,D150_4_ASIAN,,,IPEDS,,,,,
Adjusted cohort count for completion rate of American Indian/Alaska Native students at four-year institutions (denominator of 150% completion rate),completion,completion_cohort_4yr_150_aian,integer,,D150_4_AIAN,,,IPEDS,,,,,
Adjusted cohort count for completion rate of Native Hawaiian/Pacific Islander students at four-year institutions (denominator of 150% completion rate),completion,completion_cohort_4yr_150_nhpi,integer,,D150_4_NHPI,,,IPEDS,,,,,
Adjusted cohort count for completion rate of students of Two or More Races at four-year institutions (denominator of 150% completion rate),completion,completion_cohort_4yr_150_2ormore,integer,,D150_4_2MOR,,,IPEDS,,,,,
Adjusted cohort count for completion rate of U.S. Nonresident students at four-year institutions (denominator of 150% completion rate),completion,completion_cohort_4yr_150_nonresident.alien,integer,,D150_4_NRA,,,IPEDS,,,,,
Adjusted cohort count for completion rate of students of Unknown race at four-year institutions (denominator of 150% completion rate),completion,completion_cohort_4yr_150_race.unknown,integer,,D150_4_UNKN,,,IPEDS,,,,,
Adjusted cohort count for completion rate of White students at less-than-four-year institutions (denominator of 150% completion rate),completion,completion_cohort_less_than_4yr_150_white,integer,,D150_L4_WHITE,,,IPEDS,,,,,
Code corresponding to accreditor (as captured from PEPS),school,accreditor_code,string,,ACCREDCODE,,,FSA,,,,,
Date that institution was first approved to participate in Title IV aid programs,school,title_iv.approval_date,string,,T4APPROVALDATE,,,FSA,,,,,
"Adjusted cohort count of full-time, first-time students (denominator for the percentage receiving an award within 6 years of entry)",completion,outcome_cohort.full_time.first_time.6yr,integer,,OMACHT6_FTFT,,,IPEDS,,,,,
"Percentage of full-time, first-time student receiving an award within 6 years of entry",completion,outcome_percentage.full_time.first_time.6yr.award,float,,OMAWDP6_FTFT,,,IPEDS,,,,,
"Adjusted cohort count of full-time, first-time students (denominator for the 8-year outcomes percentages)",completion,outcome_cohort.full_time.first_time.8yr,integer,,OMACHT8_FTFT,,,IPEDS,,,,,
"Percentage of full-time, first-time student receiving an award within 8 years of entry",completion,outcome_percentage.full_time.first_time.8yr.award,float,,OMAWDP8_FTFT,,,IPEDS,,,,,
"Percentage of full-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry",completion,outcome_percentage.full_time.first_time.8yr.still_enrolled,float,,OMENRYP8_FTFT,,,IPEDS,,,,,
"Percentage of full-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",completion,outcome_percentage.full_time.first_time.8yr.transfer,float,,OMENRAP8_FTFT,,,IPEDS,,,,,
"Percentage of full-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",completion,outcome_percentage.full_time.first_time.8yr.unknown,float,,OMENRUP8_FTFT,,,IPEDS,,,,,
"Adjusted cohort count of part-time, first-time students (denominator for the percentage receiving an award within 6 years of entry)",completion,outcome_cohort.part_time.first_time.6yr,integer,,OMACHT6_PTFT,,,IPEDS,,,,,
"Percentage of part-time, first-time student receiving an award within 6 years of entry",completion,outcome_percentage.part_time.first_time.6yr.award,float,,OMAWDP6_PTFT,,,IPEDS,,,,,
"Adjusted cohort count of part-time, first-time students (denominator for the 8-year outcomes percentages)",completion,outcome_cohort.part_time.first_time.8yr,integer,,OMACHT8_PTFT,,,IPEDS,,,,,
"Percentage of part-time, first-time student receiving an award within 8 years of entry",completion,outcome_percentage.part_time.first_time.8yr.award,float,,OMAWDP8_PTFT,,,IPEDS,,,,,
"Percentage of part-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry",completion,outcome_percentage.part_time.first_time.8yr.still_enrolled,float,,OMENRYP8_PTFT,,,IPEDS,,,,,
"Percentage of part-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",completion,outcome_percentage.part_time.first_time.8yr.transfer,float,,OMENRAP8_PTFT,,,IPEDS,,,,,
"Percentage of part-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",completion,outcome_percentage.part_time.first_time.8yr.unknown,float,,OMENRUP8_PTFT,,,IPEDS,,,,,
"Adjusted cohort count of full-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry)",completion,outcome_cohort.full_time.not_first_time.6yr,integer,,OMACHT6_FTNFT,,,IPEDS,,,,,
"Percentage of full-time, not first-time student receiving an award within 6 years of entry",completion,outcome_percentage.full_time.not_first_time.6yr.award,float,,OMAWDP6_FTNFT,,,IPEDS,,,,,
"Adjusted cohort count of full-time, not first-time students (denominator for the 8-year outcomes percentages)",completion,outcome_cohort.full_time.not_first_time.8yr,integer,,OMACHT8_FTNFT,,,IPEDS,,,,,
"Percentage of full-time, not first-time student receiving an award within 8 years of entry",completion,outcome_percentage.full_time.not_first_time.8yr.award,float,,OMAWDP8_FTNFT,,,IPEDS,,,,,
"Percentage of full-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry",completion,outcome_percentage.full_time.not_first_time.8yr.still_enrolled,float,,OMENRYP8_FTNFT,,,IPEDS,,,,,
"Percentage of full-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",completion,outcome_percentage.full_time.not_first_time.8yr.transfer,float,,OMENRAP8_FTNFT,,,IPEDS,,,,,
"Percentage of full-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",completion,outcome_percentage.full_time.not_first_time.8yr.unknown,float,,OMENRUP8_FTNFT,,,IPEDS,,,,,
"Adjusted cohort count of part-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry)",completion,outcome_cohort.part_time.not_first_time.6yr,integer,,OMACHT6_PTNFT,,,IPEDS,,,,,
"Percentage of part-time, not first-time student receiving an award within 6 years of entry",completion,outcome_percentage.part_time.not_first_time.6yr.award,float,,OMAWDP6_PTNFT,,,IPEDS,,,,,
"Adjusted cohort count of part-time, not first-time students (denominator for the 8-year outcomes percentages)",completion,outcome_cohort.part_time.not_first_time.8yr,integer,,OMACHT8_PTNFT,,,IPEDS,,,,,
"Percentage of part-time, not first-time student receiving an award within 8 years of entry",completion,outcome_percentage.part_time.not_first_time.8yr.award,float,,OMAWDP8_PTNFT,,,IPEDS,,,,,
"Percentage of part-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry",completion,outcome_percentage.part_time.not_first_time.8yr.still_enrolled,float,,OMENRYP8_PTNFT,,,IPEDS,,,,,
"Percentage of part-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",completion,outcome_percentage.part_time.not_first_time.8yr.transfer,float,,OMENRAP8_PTNFT,,,IPEDS,,,,,
"Percentage of part-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",completion,outcome_percentage.part_time.not_first_time.8yr.unknown,float,,OMENRUP8_PTNFT,,,IPEDS,,,,,
"First-time, full-time student retention rate at four-year institutions",student,retention_rate.four_year.full_time_pooled,float,,RET_FT4_POOLED,,,IPEDS,,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year that are enrolled in the fall term of the current academic year divided by the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. For 4-year institutions, this metric is limited to full-time, first-time, bachelor's or equivalent degree-seeking undergraduate students. For less-than-4-year institutions, this metric applies to all full-time, first-time, degree/certificate-seeking undergraduate students. This metric is not available prior to the 2004-05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.",,,
"First-time, full-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.full_time_pooled,float,,RET_FTL4_POOLED,,,IPEDS,,ibid,,,
"First-time, part-time student retention rate at four-year institutions",student,retention_rate.four_year.part_time_pooled,float,,RET_PT4_POOLED,,,IPEDS,,"The proportion of part-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year that are enrolled in the fall term of the current academic year divided by the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. For 4-year institutions, this metric is limited to part-time, first-time, bachelor's or equivalent degree-seeking undergraduate students. For less-than-4-year institutions, this metric applies to all part-time, first-time, degree/certificate-seeking undergraduate students. This metric is not available prior to the 2004-05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.",,,
"First-time, part-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.part_time_pooled,float,,RET_PTL4_POOLED,,,IPEDS,,ibid,,,
"Adjusted cohort count for the first-time, full-time student retention rate at four-year institutions (denominator of the retention rate)",student,retention_rate.cohort.four_year.full_time_pooled,float,,RET_FT_DEN4_POOLED,,,IPEDS,,"The number of full-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall of the prior academic year, minus any allowable exclusions, calculated from the IPEDS Fall Enrollment component. ",,,
"Adjusted cohort count for the first-time, full-time student retention rate at less-than-four-year institutions (denominator of the retention rate)",student,retention_rate.cohort.lt_four_year.full_time_pooled,float,,RET_FT_DENL4_POOLED,,,IPEDS,,ibid,,,
"Adjusted cohort count for the first-time, part-time student retention rate at four-year institutions (denominator of the retention rate)",student,retention_rate.cohort.four_year.part_time_pooled,float,,RET_PT_DEN4_POOLED,,,IPEDS,,"The number of part-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall of the prior academic year, minus any allowable exclusions, calculated from the IPEDS Fall Enrollment component.",,,
"Adjusted cohort count for the first-time, part-time student retention rate at less-than-four-year institutions (denominator of the retention rate)",student,retention_rate.cohort.lt_four_year.part_time_pooled,float,,RET_PT_DENL4_POOLED,,,IPEDS,,ibid,,,
Years used for rolling averages of full-time retention rate RET_FT[4/L4]_POOLED,student,retention_rate.pooled_yrs_used.full_time,integer,,POOLYRSRET_FT,,,IPEDS,,,,,
Years used for rolling averages of part-time retention rate RET_PT[4/L4]_POOLED,student,retention_rate.pooled_yrs_used.part_time,integer,,POOLYRSRET_PT,,,IPEDS,,,,,
"First-time, full-time student retention rate at four-year institutions",student,retention_rate_suppressed.four_year.full_time_pooled,float,,RET_FT4_POOLED_SUPP,,,IPEDS,Yes,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year that are enrolled in the fall term of the current academic year divided by the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. For 4-year institutions, this metric is limited to full-time, first-time, bachelor's or equivalent degree-seeking undergraduate students. For less-than-4-year institutions, this metric applies to all full-time, first-time, degree/certificate-seeking undergraduate students. This metric is not available prior to the 2004-05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.",,,
"First-time, full-time student retention rate at less-than-four-year institutions",student,retention_rate_suppressed.lt_four_year.full_time_pooled,float,,RET_FTL4_POOLED_SUPP,,,IPEDS,Yes,ibid,,,
"First-time, part-time student retention rate at four-year institutions",student,retention_rate_suppressed.four_year.part_time_pooled,float,,RET_PT4_POOLED_SUPP,,,IPEDS,Yes,"The proportion of part-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year that are enrolled in the fall term of the current academic year divided by the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. For 4-year institutions, this metric is limited to part-time, first-time, bachelor's or equivalent degree-seeking undergraduate students. For less-than-4-year institutions, this metric applies to all part-time, first-time, degree/certificate-seeking undergraduate students. This metric is not available prior to the 2004-05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.",,,
"First-time, part-time student retention rate at less-than-four-year institutions",student,retention_rate_suppressed.lt_four_year.part_time_pooled,float,,RET_PTL4_POOLED_SUPP,,,IPEDS,Yes,ibid,,,
"Transfer rate for first-time, full-time students at four-year institutions (within 150% of expected time to completion/6 years)",completion,transfer_rate.4yr.full_time_pooled,float,,TRANS_4_POOLED,,,IPEDS,,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who transferred to another institution within 150 percent of normal time, calculated from the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate divided by the number of full-time, first-time, degree/certificate-seeking undergraduates in the corresponding completion rate cohort (D150_4, D150_L4). For full-time, first-time, bachelor's degree-seeking undergraduates, 150 percent of normal time is 6 years, and for full-time, first-time, associate's degree-seeking undergraduates it is 3 years. For full-time, first-time, certificate-seeking undergraduates, the normal time period varies (for example, 9 months for a certificate with a normal completion time of 6 months). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.",,,
"Transfer rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)",completion,transfer_rate.less_than_4yr.full_time_pooled,float,,TRANS_L4_POOLED,,,IPEDS,,ibid,,,
Adjusted cohort count for transfer rate at four-year institutions (denominator of 150% transfer rate),completion,transfer_rate.cohort_4yr.full_time_pooled,integer,,DTRANS_4_POOLED,,,IPEDS,,"The number of full-time, first-time, degree/certificate-seeking undergraduates used by the institution to calculate transfer rate within 150 percent of normal time, included in the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is based on the number of full-time, first-time, degree/certificate-seeking undergraduates who initially enrolled in the fall term (for institutions that primarily follow an academic year calendar system) or any time during the academic year (for institutions that primarily follow a continuous enrollment or program-based calendar system). Institutions may exclude full-time, first-time, degree/certificate-seeking undergraduates who left the institution due to death, total and permanent disability, active military duty, service in the Peace Corps or other federal foreign aid program, or service on an official church mission (http://nces.ed.gov/ipeds/glossary/index.asp?searchtype=term&keyword=adjusted+cohort). The entering class used in this metric depends on the level of institution (see ICLEVEL). Four-year institutions use full-time, first-time, degree/certificate-seeking undergraduates who started at the institution 6 years earlier. Less-than-4-year institutions use full-time, first-time, degree/certificate-seeking undergraduates who started at the institution 3 years earlier.",,,
Adjusted cohort count for transfer rate at less-than-four-year institutions (denominator of 150% transfer rate),completion,transfer_rate.cohort_less_than_4yr.full_time_pooled,integer,,DTRANS_L4_POOLED,,,IPEDS,,ibid,,,
"Transfer rate for first-time, full-time students at four-year institutions (within 150% of expected time to completion/6 years)",completion,transfer_rate_suppressed.4yr.full_time_pooled,float,,TRANS_4_POOLED_SUPP,,,IPEDS,,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who transferred to another institution within 150 percent of normal time, calculated from the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate divided by the number of full-time, first-time, degree/certificate-seeking undergraduates in the corresponding completion rate cohort (D150_4, D150_L4). For full-time, first-time, bachelor's degree-seeking undergraduates, 150 percent of normal time is 6 years, and for full-time, first-time, associate's degree-seeking undergraduates it is 3 years. For full-time, first-time, certificate-seeking undergraduates, the normal time period varies (for example, 9 months for a certificate with a normal completion time of 6 months). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.",,,
"Transfer rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)",completion,transfer_rate_suppressed.less_than_4yr.full_time_pooled,float,,TRANS_L4_POOLED_SUPP,,,IPEDS,,ibid,,,
"Completion rate for first-time, full-time students at four-year institutions (100% of expected time to completion), pooled for rolling averages",completion,completion_rate_four_year_100_pooled,float,,C100_4_POOLED,,,IPEDS,,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate at the institution within 100 percent of normal time, calculated from the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is calculated as the number of full-time, first-time, undergraduates who completed a degree or certificate divided by the number of full-time, first-time, undergraduates in the corresponding completion rate cohort (D100_4, D100_L4). For full-time, first-time, bachelor's degree-seeking undergraduates, 100 percent of normal time is typically 4 years, and for full-time, first-time, associate's degree-seeking undergraduates it is typically 2 years. For full-time, first-time, certificate-seeking undergraduates, the normal time period varies by the length of the program (for example, 6 months for a certificate with a normal completion time of 6 months). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.",,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (100% of expected time to completion), pooled for rolling averages",completion,completion_rate_lt_four_year_100_pooled,float,,C100_L4_POOLED,,,IPEDS,,ibid,,,
"Adjusted cohort count for completion rate at four-year institutions (denominator of 100% completion rate), pooled for rolling averages",completion,completion_cohort_four_year_100_pooled,integer,,D100_4_POOLED,,,IPEDS,,"The number of full-time, first-time, degree/certificate-seeking undergraduates used by the institution to calculate completion rate within 100 percent of normal time, included in the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is based on the number of full-time, first-time, degree/certificate-seeking undergraduates who initially enrolled in the fall term (for institutions that primarily follow an academic year calendar system) or any time during the academic year (for institutions that primarily follow a continuous enrollment or program-based calendar system). Institutions may exclude full-time, first-time, degree/certificate-seeking undergraduates who left the institution due to death, total and permanent disability, active military duty, service in the Peace Corps or other federal foreign aid program, or service on an official church mission (http://nces.ed.gov/ipeds/glossary/index.asp?searchtype=term&keyword=adjusted+cohort). The entering class used in this metric depends on the level of institution (see ICLEVEL). Four-year institutions use full-time, first-time, degree/certificate-seeking undergraduates who started at the institution 6 years earlier. Less-than-4-year institutions use full-time, first-time, degree/certificate-seeking undergraduates who started at the institution 3 years earlier.",,,
"Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 100% completion rate), pooled for rolling averages",completion,completion_cohort_lt_four_year_100_pooled,integer,,D100_L4_POOLED,,,IPEDS,,ibid,,,
Years used for rolling averages of completion rate C100_[4/L4]_POOLED,completion,pooled_yrs_used_100,integer,,POOLYRS100,,,IPEDS,,,,,
"Completion rate for first-time, full-time students at four-year institutions (100% of expected time to completion), pooled for rolling averages and suppressed for small n size.",completion,rate_suppressed.four_year_100_pooled,float,,C100_4_POOLED_SUPP,,,IPEDS,,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate at the institution within 100 percent of normal time, calculated from the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is calculated as the number of full-time, first-time, undergraduates who completed a degree or certificate divided by the number of full-time, first-time, undergraduates in the corresponding completion rate cohort (D100_4, D100_L4). For full-time, first-time, bachelor's degree-seeking undergraduates, 100 percent of normal time is typically 4 years, and for full-time, first-time, associate's degree-seeking undergraduates it is typically 2 years. For full-time, first-time, certificate-seeking undergraduates, the normal time period varies by the length of the program (for example, 6 months for a certificate with a normal completion time of 6 months). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.",,,
"Completion rate for first-time, full-time students at less-than-four-year institutions (100% of expected time to completion), pooled for rolling averages and suppressed for small n size.",completion,rate_suppressed.lt_four_year_100_pooled,float,,C100_L4_POOLED_SUPP,,,IPEDS,,ibid,,,
"Completion rate for first-time, full-time students receiving a Pell Grant during their first year of college at four-year institutions (150% of expected time to completion)",completion,completion_rate_four_year_150_pell,float,,C150_4_PELL,,,IPEDS,,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates receiving a Pell Grant during their first year of college who completed a degree or certificate at the institution within 150 percent of normal time, calculated from the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates receiving a Pell Grant during their first year of college who completed a degree or certificate divided by the number of full-time, first-time, degree/certificate-seeking undergraduates receiving a Pell Grant during their first year of college in the corresponding completion rate cohort (D150_4_PELL, D150_L4_PELL). For full-time, first-time, bachelor's degree-seeking undergraduates, 150 percent of normal time is typically 6 years, and for full-time, first-time, associate's degree-seeking undergraduates it is typically 3 years. For full-time, first-time, certificate-seeking undergraduates, the normal time period varies by the length of the program (for example, 9 months for a certificate with a normal completion time of 6 months). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.",,,
Adjusted cohort count for Pell Grant recipient completion rate at four-year institutions (denominator of 150% Pell Grant recipient completion rate),completion,completion_cohort_four_year_150_pell,integer,,D150_4_PELL,,,IPEDS,,"The number of full-time, first-time, degree/certificate-seeking undergraduates receiving a Pell Grant during their first year of college used by the institution to calculate completion rate within 150 percent of normal time, included in the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is based on the number of full-time, first-time, degree/certificate-seeking undergraduates who initially enrolled in the fall term (for institutions that primarily follow an academic year calendar system) or any time during the academic year (for institutions that primarily follow a continuous enrollment or program-based calendar system). Institutions may exclude full-time, first-time, degree/certificate-seeking undergraduates who left the institution due to death, total and permanent disability, active military duty, service in the Peace Corps or other federal foreign aid program, or service on an official church mission (http://nces.ed.gov/ipeds/glossary/index.asp?searchtype=term&keyword=adjusted+cohort). The entering class used in this metric depends on the level of institution (see ICLEVEL). Four-year institutions use full-time, first-time, degree/certificate-seeking undergraduates who started at the institution 6 years earlier. Less-than-4-year institutions use full-time, first-time, degree/certificate-seeking undergraduates who started at the institution 3 years earlier. Pooled figures include two cohorts of students.",,,
"Completion rate for first-time, full-time students receiving a Pell Grant during their first year of college at less-than-four-year institutions (150% of expected time to completion)",completion,completion_rate_lt_four_year_150_pell,float,,C150_L4_PELL,,,IPEDS,,ibid,,,
Adjusted cohort count for Pell Grant recipient completion rate at less-than-four-year institutions (denominator of 150% Pell Grant recipient completion rate),completion,completion_cohort_lt_four_year_150_pell,integer,,D150_L4_PELL,,,IPEDS,,ibid,,,
"Completion rate for first-time, full-time students receiving a Direct Subsidized Loan but not a Pell Grant during their first year of college at four-year institutions (150% of expected time to completion)",completion,completion_rate_four_year_150_loan_nopell,float,,C150_4_LOANNOPELL,,,IPEDS,,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates receiving a Direct Subsidized Loan but not a Pell Grant during their first year of college who completed a degree or certificate at the institution within 150 percent of normal time, calculated from the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates receiving a Direct Subsidized Loan but not a Pell Grant during their first year of college who completed a degree or certificate divided by the number of full-time, first-time, degree/certificate-seeking undergraduates receiving a Direct Subsidized Loan but not a Pell Grant during their first year of college in the corresponding completion rate cohort (D150_4_LOANNOPELL, D150_L4_LOANNOPELL). For full-time, first-time, bachelor's degree-seeking undergraduates, 150 percent of normal time is typically 6 years, and for full-time, first-time, associate's degree-seeking undergraduates it is typically 3 years. For full-time, first-time, certificate-seeking undergraduates, the normal time period varies by the length of the program (for example, 9 months for a certificate with a normal completion time of 6 months). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.",,,
Adjusted cohort count for Direct Subsidized Loan recipients who did not receive a Pell Grant completion rate at four-year institutions (denominator of 150% Direct Subsidized Loan recipient who did not receive a Pell Grant completion rate),completion,completion_cohort_four_year_150_loan_nopell,integer,,D150_4_LOANNOPELL,,,IPEDS,,"The number of full-time, first-time, degree/certificate-seeking undergraduates receiving a Direct Subsidized Loan but not a Pell Grant during their first year of college used by the institution to calculate completion rate within 150 percent of normal time, included in the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is based on the number of full-time, first-time, degree/certificate-seeking undergraduates who initially enrolled in the fall term (for institutions that primarily follow an academic year calendar system) or any time during the academic year (for institutions that primarily follow a continuous enrollment or program-based calendar system). Institutions may exclude full-time, first-time, degree/certificate-seeking undergraduates who left the institution due to death, total and permanent disability, active military duty, service in the Peace Corps or other federal foreign aid program, or service on an official church mission (http://nces.ed.gov/ipeds/glossary/index.asp?searchtype=term&keyword=adjusted+cohort). The entering class used in this metric depends on the level of institution (see ICLEVEL). Four-year institutions use full-time, first-time, degree/certificate-seeking undergraduates who started at the institution 6 years earlier. Less-than-4-year institutions use full-time, first-time, degree/certificate-seeking undergraduates who started at the institution 3 years earlier. Pooled figures include two cohorts of students.",,,
"Completion rate for first-time, full-time students receiving a Direct Subsidized Loan but not a Pell Grant during their first year of college at less-than-four-year institutions (150% of expected time to completion)",completion,completion_rate_lt_four_year_150_loan_nopell,float,,C150_L4_LOANNOPELL,,,IPEDS,,ibid,,,
Adjusted cohort count for Direct Subsidized Loan recipients who did not receive a Pell Grant completion rate at less-than-four-year institutions (denominator of 150% Direct Subsidized Loan recipient who did not receive a Pell Grant completion rate),completion,completion_cohort_lt_four_year_150_loan_nopell,integer,,D150_L4_LOANNOPELL,,,IPEDS,,ibid,,,
